,Title,BERT label,BERT label words,TFIDF label,TFIDF label words,BERT + TFIDF label,BERT + TFIDF label words,Comment Count,Time elapsed (mins),Upvotes,Upvote Ratio
Post 11,"[SSD] Team Group T-FORCE VULCAN G 2.5"" 1TB SATA III SSD - $78.99 ($95.99-$17)",-1,"[('-', 23), ('[ssd]', 4), ('1tb', 4), ('ssd', 4), ('[cpu]', 3), ('amazon', 3), ('[case]', 3), ('atx', 3), ('pro', 3), ('+', 3)]",4,"[('ssd', 3), ('[ssd]', 2), ('1tb', 2), ('sata', 2), ('iii', 2), ('-', 2), ('samsung', 1), ('860', 1), ('evo', 1), ('2.5', 1)]",-1,"[('-', 22), ('ssd', 4), ('[cpu]', 3), ('amazon', 3), ('[ssd]', 3), ('1tb', 3), ('[case]', 3), ('atx', 3), ('pro', 3), ('+', 3)]",20,979.0,78,0.9
Post 12,[COOLER] Lian Li Galahad 360 AIO back in stock Newegg - $149.99,0,"[('lian', 2), ('li', 2), ('stock', 2), ('-', 2), ('[cooler]', 1), ('galahad', 1), ('360', 1), ('aio', 1), ('back', 1), ('newegg', 1)]",5,"[('-', 10), ('[case]', 3), ('[cooler]', 3), ('aio', 3), ('$20', 3), ('lian', 2), ('li', 2), ('stock', 2), ('in', 2), ('cooler', 2)]",0,"[('lian', 2), ('li', 2), ('stock', 2), ('-', 2), ('[cooler]', 1), ('galahad', 1), ('360', 1), ('aio', 1), ('back', 1), ('newegg', 1)]",68,829.0,63,0.84
Post 13,"[Laptop] Lenovo Legion 5 Laptop: Ryzen 5 4600H, GTX 1650 Ti, 1080p 15.6"" 120Hz IPS, 8 GB RAM, 256 GB SSD + 1 TB HDD - $649 ($899 - $250)",8,"[('-', 4), ('[laptop]', 3), ('1080p', 3), ('15.6""', 3), ('5', 2), ('gtx', 2), ('gb', 2), ('ram,', 2), ('gaming', 2), ('512gb', 2)]",2,"[('-', 4), ('[laptop]', 3), ('1080p', 3), ('15.6""', 3), ('gaming', 3), ('5', 2), ('gtx', 2), ('gb', 2), ('ram,', 2), ('intel', 2)]",8,"[('-', 4), ('[laptop]', 3), ('1080p', 3), ('15.6""', 3), ('5', 2), ('gtx', 2), ('gb', 2), ('ram,', 2), ('gaming', 2), ('512gb', 2)]",26,1079.0,74,0.84
Post 14,[CPU] Intel Core i7-10700 10th Generation 8-Core 16-Thread 2.9 GHz (4.8 GHz Turbo) Socket LGA1200 - $300,-1,"[('-', 23), ('[ssd]', 4), ('1tb', 4), ('ssd', 4), ('[cpu]', 3), ('amazon', 3), ('[case]', 3), ('atx', 3), ('pro', 3), ('+', 3)]",-1,"[('-', 10), ('[cpu]', 4), ('amd', 3), ('ryzen', 3), ('ghz', 3), ('pro', 3), ('amazon', 2), ('9', 2), ('the', 1), ('5800x', 1)]",-1,"[('-', 22), ('ssd', 4), ('[cpu]', 3), ('amazon', 3), ('[ssd]', 3), ('1tb', 3), ('[case]', 3), ('atx', 3), ('pro', 3), ('+', 3)]",90,766.0,68,0.8300000000000001
Post 15,[SSD] Crucial P2 1TB 3D NAND NVMe PCIe M.2 SSD Up to 2400MB/s - $91.99 (Choose Amazon as the seller),7,"[('1tb', 4), ('pcie', 4), ('[ssd]', 3), ('nvme', 3), ('m.2', 3), ('ssd', 3), ('-', 3), ('4.0', 2), ('gen4', 2), ('sabrent', 1)]",6,"[('[ssd]', 3), ('crucial', 3), ('1tb', 3), ('3d', 3), ('nand', 3), ('nvme', 3), ('-', 3), ('p5', 2), ('$109.99', 2), ('ssd', 2)]",7,"[('1tb', 5), ('[ssd]', 4), ('nvme', 4), ('-', 4), ('pcie', 4), ('m.2', 3), ('ssd', 3), ('crucial', 2), ('3d', 2), ('nand', 2)]",12,583.0,56,0.81
Post 16,[Case] NZXT H510 - CA-H510B-W1 - Compact ATX Mid-Tower PC Gaming Case $62.99,-1,"[('-', 23), ('[ssd]', 4), ('1tb', 4), ('ssd', 4), ('[cpu]', 3), ('amazon', 3), ('[case]', 3), ('atx', 3), ('pro', 3), ('+', 3)]",9,"[('-', 3), ('[case]', 2), ('atx', 2), ('mid-tower', 2), ('case', 2), ('nzxt', 1), ('h510', 1), ('ca-h510b-w1', 1), ('compact', 1), ('pc', 1)]",-1,"[('-', 22), ('ssd', 4), ('[cpu]', 3), ('amazon', 3), ('[ssd]', 3), ('1tb', 3), ('[case]', 3), ('atx', 3), ('pro', 3), ('+', 3)]",27,151.0,57,0.88
Post 17,[FANS] Antec 120mm RGB Fan (non addressable) - $6.99 each,-1,"[('-', 23), ('[ssd]', 4), ('1tb', 4), ('ssd', 4), ('[cpu]', 3), ('amazon', 3), ('[case]', 3), ('atx', 3), ('pro', 3), ('+', 3)]",8,"[('fan', 2), ('-', 2), ('[fan]', 2), ('pwm', 2), ('[fans]', 1), ('antec', 1), ('120mm', 1), ('rgb', 1), ('(non', 1), ('addressable)', 1)]",-1,"[('-', 22), ('ssd', 4), ('[cpu]', 3), ('amazon', 3), ('[ssd]', 3), ('1tb', 3), ('[case]', 3), ('atx', 3), ('pro', 3), ('+', 3)]",40,1023.0,56,0.86
Post 18,[MOUSE] Microsoft Pro Intellimouse Light Shadow - $24.28 + FS - Staples,-1,"[('-', 23), ('[ssd]', 4), ('1tb', 4), ('ssd', 4), ('[cpu]', 3), ('amazon', 3), ('[case]', 3), ('atx', 3), ('pro', 3), ('+', 3)]",-1,"[('-', 10), ('[cpu]', 4), ('amd', 3), ('ryzen', 3), ('ghz', 3), ('pro', 3), ('amazon', 2), ('9', 2), ('the', 1), ('5800x', 1)]",-1,"[('-', 22), ('ssd', 4), ('[cpu]', 3), ('amazon', 3), ('[ssd]', 3), ('1tb', 3), ('[case]', 3), ('atx', 3), ('pro', 3), ('+', 3)]",15,154.0,47,0.85
Post 19,[CPU] Ryzen 7 5800x - $449 (In stock - Amazon),3,"[('ryzen', 9), ('[cpu]', 8), ('-', 7), ('amd', 5), ('5', 4), ('restock', 4), ('5800x', 4), ('$449', 4), ('3600', 3), ('7', 3)]",12,"[('[cpu]', 2), ('ryzen', 2), ('5800x', 2), ('-', 2), ('$449', 2), ('7', 1), ('(in', 1), ('stock', 1), ('amazon)', 1), ('5', 1)]",3,"[('ryzen', 9), ('[cpu]', 8), ('-', 7), ('amd', 5), ('5', 4), ('restock', 4), ('5800x', 4), ('$449', 4), ('3600', 3), ('7', 3)]",106,290.0,42,0.74
Post 20,[PSU CASE BUNDLE] Rosewill Capstone Modular Power Supply 80 Plus Gold 750W PSU + Rosewill ATX Mid Tower Gaming Computer Case with Tempered Glass and RGB Fans - $129.99 (Instructions in comments),6,"[('case', 3), ('-', 3), ('rosewill', 2), ('plus', 2), ('atx', 2), ('rgb', 2), ('fans', 2), ('[psu', 1), ('bundle]', 1), ('capstone', 1)]",10,"[('rosewill', 4), ('+', 3), ('case', 2), ('80', 2), ('plus', 2), ('gold', 2), ('750w', 2), ('atx', 2), ('-', 2), ('$129.99', 2)]",6,"[('case', 3), ('-', 3), ('rosewill', 2), ('plus', 2), ('atx', 2), ('rgb', 2), ('fans', 2), ('[psu', 1), ('bundle]', 1), ('capstone', 1)]",13,406.0,39,0.8
Post 21,[Discount] 10% off Tigerdirect when you use Paypal - $X*.9,-1,"[('-', 23), ('[ssd]', 4), ('1tb', 4), ('ssd', 4), ('[cpu]', 3), ('amazon', 3), ('[case]', 3), ('atx', 3), ('pro', 3), ('+', 3)]",-1,"[('-', 10), ('[cpu]', 4), ('amd', 3), ('ryzen', 3), ('ghz', 3), ('pro', 3), ('amazon', 2), ('9', 2), ('the', 1), ('5800x', 1)]",-1,"[('-', 22), ('ssd', 4), ('[cpu]', 3), ('amazon', 3), ('[ssd]', 3), ('1tb', 3), ('[case]', 3), ('atx', 3), ('pro', 3), ('+', 3)]",33,36.0,40,0.71
Post 22,[Case] Lian Li O-11 Dynamic (White) NOW IN STOCK - $149.00,0,"[('lian', 2), ('li', 2), ('stock', 2), ('-', 2), ('[cooler]', 1), ('galahad', 1), ('360', 1), ('aio', 1), ('back', 1), ('newegg', 1)]",5,"[('-', 10), ('[case]', 3), ('[cooler]', 3), ('aio', 3), ('$20', 3), ('lian', 2), ('li', 2), ('stock', 2), ('in', 2), ('cooler', 2)]",0,"[('lian', 2), ('li', 2), ('stock', 2), ('-', 2), ('[cooler]', 1), ('galahad', 1), ('360', 1), ('aio', 1), ('back', 1), ('newegg', 1)]",80,1167.0,49,0.84
Post 23,"[Monitor] Refurbished Acer CB342CK smiiphzx 34"" 3440 x 1440 IPS 75Hz - $279.99 ($499-$599(?) - 44-53%; free shipping)",4,"[('|', 8), ('-', 7), ('[monitor]', 5), ('ips', 4), ('monitor', 4), ('inch', 3), ('1080p', 3), ('gaming', 3), ('1ms', 3), ('75hz', 2)]",3,"[('|', 8), ('-', 7), ('[monitor]', 5), ('ips', 4), ('monitor', 4), ('inch', 3), ('1080p', 3), ('gaming', 3), ('1ms', 3), ('75hz', 2)]",4,"[('|', 8), ('-', 7), ('[monitor]', 5), ('ips', 4), ('monitor', 4), ('inch', 3), ('1080p', 3), ('gaming', 3), ('1ms', 3), ('75hz', 2)]",10,857.0,40,0.79
Post 24,[Case] Cooler Master H500 ARGB Airflow - $79.99 ($119.99 - $20 - $20 MIR) Amazon,-1,"[('-', 23), ('[ssd]', 4), ('1tb', 4), ('ssd', 4), ('[cpu]', 3), ('amazon', 3), ('[case]', 3), ('atx', 3), ('pro', 3), ('+', 3)]",5,"[('-', 10), ('[case]', 3), ('[cooler]', 3), ('aio', 3), ('$20', 3), ('lian', 2), ('li', 2), ('stock', 2), ('in', 2), ('cooler', 2)]",-1,"[('-', 22), ('ssd', 4), ('[cpu]', 3), ('amazon', 3), ('[ssd]', 3), ('1tb', 3), ('[case]', 3), ('atx', 3), ('pro', 3), ('+', 3)]",40,1102.0,37,0.8200000000000001
Post 25,"[CASE + PSU] Rosewill ATX + Rosewill 80 Plus Gold 750W - $129.99 (was $229, you need to add both to basket, discount in checkout)",-1,"[('-', 23), ('[ssd]', 4), ('1tb', 4), ('ssd', 4), ('[cpu]', 3), ('amazon', 3), ('[case]', 3), ('atx', 3), ('pro', 3), ('+', 3)]",10,"[('rosewill', 4), ('+', 3), ('case', 2), ('80', 2), ('plus', 2), ('gold', 2), ('750w', 2), ('atx', 2), ('-', 2), ('$129.99', 2)]",-1,"[('-', 22), ('ssd', 4), ('[cpu]', 3), ('amazon', 3), ('[ssd]', 3), ('1tb', 3), ('[case]', 3), ('atx', 3), ('pro', 3), ('+', 3)]",27,1009.0,32,0.78
Post 26,[PSU] CORSAIR CX Series CX450 450W ATX12V 80 PLUS BRONZE - $32.98 (49.99-20MIR+2.99 Shipping),5,"[('shipping)', 2), ('[psu]', 1), ('corsair', 1), ('cx', 1), ('series', 1), ('cx450', 1), ('450w', 1), ('atx12v', 1), ('80', 1), ('plus', 1)]",-1,"[('-', 10), ('[cpu]', 4), ('amd', 3), ('ryzen', 3), ('ghz', 3), ('pro', 3), ('amazon', 2), ('9', 2), ('the', 1), ('5800x', 1)]",5,"[('shipping)', 2), ('[psu]', 1), ('corsair', 1), ('cx', 1), ('series', 1), ('cx450', 1), ('450w', 1), ('atx12v', 1), ('80', 1), ('plus', 1)]",20,374.0,29,0.78
Post 27,"[Keyboard] RK987 Tenkeyless Mechanical Keyboard 87 Keys White LED Backlight Gaming Keyboard, Wired/Wireless Bluetooth Keyboard Brown Switch - $35.99 (Clip the coupon)",2,"[('keyboard', 3), ('-', 3), ('[keyboard]', 2), ('mechanical', 2), ('rk987', 1), ('tenkeyless', 1), ('87', 1), ('keys', 1), ('white', 1), ('led', 1)]",1,"[('[keyboard]', 3), ('mechanical', 3), ('keyboard', 3), ('-', 3), ('rk987', 1), ('tenkeyless', 1), ('87', 1), ('keys', 1), ('white', 1), ('led', 1)]",2,"[('keyboard', 3), ('-', 3), ('[keyboard]', 2), ('mechanical', 2), ('rk987', 1), ('tenkeyless', 1), ('87', 1), ('keys', 1), ('white', 1), ('led', 1)]",14,176.0,25,0.74
Post 28,[Motherboard] ASUS AM4 PRO WS X570-ACE ATX Workstation Motherboard ($380-180 = $200) [Newegg],-1,"[('-', 23), ('[ssd]', 4), ('1tb', 4), ('ssd', 4), ('[cpu]', 3), ('amazon', 3), ('[case]', 3), ('atx', 3), ('pro', 3), ('+', 3)]",-1,"[('-', 10), ('[cpu]', 4), ('amd', 3), ('ryzen', 3), ('ghz', 3), ('pro', 3), ('amazon', 2), ('9', 2), ('the', 1), ('5800x', 1)]",-1,"[('-', 22), ('ssd', 4), ('[cpu]', 3), ('amazon', 3), ('[ssd]', 3), ('1tb', 3), ('[case]', 3), ('atx', 3), ('pro', 3), ('+', 3)]",17,334.0,28,0.81
Post 29,[SSD] Silicon Power 1TB NVMe 4.0 Gen4 PCIe M.2 SSD - $147.99 (For Prime Members),7,"[('1tb', 4), ('pcie', 4), ('[ssd]', 3), ('nvme', 3), ('m.2', 3), ('ssd', 3), ('-', 3), ('4.0', 2), ('gen4', 2), ('sabrent', 1)]",7,"[('[ssd]', 2), ('1tb', 2), ('nvme', 2), ('4.0', 2), ('gen4', 2), ('pcie', 2), ('m.2', 2), ('ssd', 2), ('-', 2), ('sabrent', 1)]",7,"[('1tb', 5), ('[ssd]', 4), ('nvme', 4), ('-', 4), ('pcie', 4), ('m.2', 3), ('ssd', 3), ('crucial', 2), ('3d', 2), ('nand', 2)]",29,1181.0,29,0.72
Post 30,[Cooler] Cooler Master ML360 SUB-zero Thermoelectric AIO - $350 (Pre-order for Dec 22),-1,"[('-', 23), ('[ssd]', 4), ('1tb', 4), ('ssd', 4), ('[cpu]', 3), ('amazon', 3), ('[case]', 3), ('atx', 3), ('pro', 3), ('+', 3)]",5,"[('-', 10), ('[case]', 3), ('[cooler]', 3), ('aio', 3), ('$20', 3), ('lian', 2), ('li', 2), ('stock', 2), ('in', 2), ('cooler', 2)]",-1,"[('-', 22), ('ssd', 4), ('[cpu]', 3), ('amazon', 3), ('[ssd]', 3), ('1tb', 3), ('[case]', 3), ('atx', 3), ('pro', 3), ('+', 3)]",33,822.0,23,0.72
Post 31,"[Laptop] Razer Blade 15 Base Gaming Laptop 2020: Intel Core i7-10750H 6-Core, NVIDIA GeForce RTX 2060, 15.6"" FHD 1080p 144Hz, 16GB RAM, 512GB SSD, CNC Aluminum, Chroma RGB Lighting, Thunderbolt 3, Black - $1349 (1799 MSRP)",8,"[('-', 4), ('[laptop]', 3), ('1080p', 3), ('15.6""', 3), ('5', 2), ('gtx', 2), ('gb', 2), ('ram,', 2), ('gaming', 2), ('512gb', 2)]",2,"[('-', 4), ('[laptop]', 3), ('1080p', 3), ('15.6""', 3), ('gaming', 3), ('5', 2), ('gtx', 2), ('gb', 2), ('ram,', 2), ('intel', 2)]",8,"[('-', 4), ('[laptop]', 3), ('1080p', 3), ('15.6""', 3), ('5', 2), ('gtx', 2), ('gb', 2), ('ram,', 2), ('gaming', 2), ('512gb', 2)]",26,40.0,19,0.65
Post 32,[Fan] Arctic F12 PWM All-White 230-1350 rpm New Release - $12 (Pre-order),-1,"[('-', 23), ('[ssd]', 4), ('1tb', 4), ('ssd', 4), ('[cpu]', 3), ('amazon', 3), ('[case]', 3), ('atx', 3), ('pro', 3), ('+', 3)]",8,"[('fan', 2), ('-', 2), ('[fan]', 2), ('pwm', 2), ('[fans]', 1), ('antec', 1), ('120mm', 1), ('rgb', 1), ('(non', 1), ('addressable)', 1)]",-1,"[('-', 22), ('ssd', 4), ('[cpu]', 3), ('amazon', 3), ('[ssd]', 3), ('1tb', 3), ('[case]', 3), ('atx', 3), ('pro', 3), ('+', 3)]",11,820.0,19,0.71
Post 33,[Headphones] Refurbished Two-pack Sony MDR-RF912RK Over Ear Wireless RF Headphones - $54 ($176 - $122),1,"[('-', 4), ('[headphones]', 2), ('refurbished', 1), ('two-pack', 1), ('sony', 1), ('mdr-rf912rk', 1), ('over', 1), ('ear', 1), ('wireless', 1), ('rf', 1)]",0,"[('-', 4), ('[headphones]', 2), ('refurbished', 1), ('two-pack', 1), ('sony', 1), ('mdr-rf912rk', 1), ('over', 1), ('ear', 1), ('wireless', 1), ('rf', 1)]",1,"[('-', 4), ('[headphones]', 2), ('refurbished', 1), ('two-pack', 1), ('sony', 1), ('mdr-rf912rk', 1), ('over', 1), ('ear', 1), ('wireless', 1), ('rf', 1)]",12,1152.0,15,0.7000000000000001
Post 34,[Monitor] Dell 24 inch Monitor 1080p IPS 75hz - S2421hn $119.99 (was $189.99) $70 off,4,"[('|', 8), ('-', 7), ('[monitor]', 5), ('ips', 4), ('monitor', 4), ('inch', 3), ('1080p', 3), ('gaming', 3), ('1ms', 3), ('75hz', 2)]",3,"[('|', 8), ('-', 7), ('[monitor]', 5), ('ips', 4), ('monitor', 4), ('inch', 3), ('1080p', 3), ('gaming', 3), ('1ms', 3), ('75hz', 2)]",4,"[('|', 8), ('-', 7), ('[monitor]', 5), ('ips', 4), ('monitor', 4), ('inch', 3), ('1080p', 3), ('gaming', 3), ('1ms', 3), ('75hz', 2)]",9,866.0,13,0.6900000000000001
Post 35,"[Monitor] Lenovo Legion Y25-25 24.5"" 240hz FHD LED Backlit LCD Gaming Monitor - $259.99",4,"[('|', 8), ('-', 7), ('[monitor]', 5), ('ips', 4), ('monitor', 4), ('inch', 3), ('1080p', 3), ('gaming', 3), ('1ms', 3), ('75hz', 2)]",3,"[('|', 8), ('-', 7), ('[monitor]', 5), ('ips', 4), ('monitor', 4), ('inch', 3), ('1080p', 3), ('gaming', 3), ('1ms', 3), ('75hz', 2)]",4,"[('|', 8), ('-', 7), ('[monitor]', 5), ('ips', 4), ('monitor', 4), ('inch', 3), ('1080p', 3), ('gaming', 3), ('1ms', 3), ('75hz', 2)]",41,942.0,13,0.66
Post 36,"[Monitor]-LG 24GL650-B - 24 Inch, 144Hz, 1ms response time-$166.99",4,"[('|', 8), ('-', 7), ('[monitor]', 5), ('ips', 4), ('monitor', 4), ('inch', 3), ('1080p', 3), ('gaming', 3), ('1ms', 3), ('75hz', 2)]",3,"[('|', 8), ('-', 7), ('[monitor]', 5), ('ips', 4), ('monitor', 4), ('inch', 3), ('1080p', 3), ('gaming', 3), ('1ms', 3), ('75hz', 2)]",4,"[('|', 8), ('-', 7), ('[monitor]', 5), ('ips', 4), ('monitor', 4), ('inch', 3), ('1080p', 3), ('gaming', 3), ('1ms', 3), ('75hz', 2)]",20,777.0,14,0.68
Post 37,[CPU] AMD Ryzen 9 5900X 12-core $549,3,"[('ryzen', 9), ('[cpu]', 8), ('-', 7), ('amd', 5), ('5', 4), ('restock', 4), ('5800x', 4), ('$449', 4), ('3600', 3), ('7', 3)]",-1,"[('-', 10), ('[cpu]', 4), ('amd', 3), ('ryzen', 3), ('ghz', 3), ('pro', 3), ('amazon', 2), ('9', 2), ('the', 1), ('5800x', 1)]",3,"[('ryzen', 9), ('[cpu]', 8), ('-', 7), ('amd', 5), ('5', 4), ('restock', 4), ('5800x', 4), ('$449', 4), ('3600', 3), ('7', 3)]",65,776.0,16,0.66
Post 38,"[Laptop] MSI GF65 Thin 9SD-656 15.6"" Gaming Notebook i5-9300H 1080p 144hz IPS 512GB NVMe 8GB RAM GTX 1660 Ti - $699",8,"[('-', 4), ('[laptop]', 3), ('1080p', 3), ('15.6""', 3), ('5', 2), ('gtx', 2), ('gb', 2), ('ram,', 2), ('gaming', 2), ('512gb', 2)]",2,"[('-', 4), ('[laptop]', 3), ('1080p', 3), ('15.6""', 3), ('gaming', 3), ('5', 2), ('gtx', 2), ('gb', 2), ('ram,', 2), ('intel', 2)]",8,"[('-', 4), ('[laptop]', 3), ('1080p', 3), ('15.6""', 3), ('5', 2), ('gtx', 2), ('gb', 2), ('ram,', 2), ('gaming', 2), ('512gb', 2)]",20,1277.0,21,0.74
Post 39,[Other] CanaKit Raspberry Pi 4 4GB Pro Starter Kit $90 ($99.98-10%) - Amazon,-1,"[('-', 23), ('[ssd]', 4), ('1tb', 4), ('ssd', 4), ('[cpu]', 3), ('amazon', 3), ('[case]', 3), ('atx', 3), ('pro', 3), ('+', 3)]",-1,"[('-', 10), ('[cpu]', 4), ('amd', 3), ('ryzen', 3), ('ghz', 3), ('pro', 3), ('amazon', 2), ('9', 2), ('the', 1), ('5800x', 1)]",-1,"[('-', 22), ('ssd', 4), ('[cpu]', 3), ('amazon', 3), ('[ssd]', 3), ('1tb', 3), ('[case]', 3), ('atx', 3), ('pro', 3), ('+', 3)]",27,1078.0,17,0.66
