,Title,URL,ID,BERT label,BERT label words,TFIDF label,TFIDF label words,BERT + TFIDF label,BERT + TFIDF label words,Comment Count,Time elapsed (mins),Upvotes,Upvote Ratio
Post 11,[CPU] amd Ryzen 5600x -- $300,https://www.amd.com/en/direct-buy/5450881700/us,mi21pc,-1,"[('-', 7), ('ssd', 2), ('[meta]', 1), ('newegg', 1), ('souffle', 1), ('3060,', 1), ('3070,', 1), ('6700', 1), ('xt,', 1), ('3080', 1)]",6,"[('-', 21), ('[prebuilt]', 5), ('gaming', 5), ('ssd', 5), ('rtx', 4), ('3070', 4), ('intel', 3), ('core', 3), ('16gb', 3), ('nvidia', 3)]",-1,"[('-', 7), ('ssd', 2), ('[meta]', 1), ('newegg', 1), ('souffle', 1), ('3060,', 1), ('3070,', 1), ('6700', 1), ('xt,', 1), ('3080', 1)]",53,870.0,35,0.74
Post 12,[Motherboard] MSI B550 Tomahawk AM4 AMD Motherboard $159.99,https://www.amazon.com/gp/product/B089CWDHFZ/ref=ppx_yo_dt_b_asin_title_o00_s00?ie=UTF8&psc=1,mhy11c,2,"[('-', 39), ('gaming', 6), ('amd', 6), ('[monitor]', 5), ('[prebuilt]', 5), ('ssd', 5), ('rtx', 4), ('3070', 4), ('b550', 3), ('am4', 3)]",7,"[('amd', 4), ('b550', 3), ('am4', 3), ('motherboard', 3), ('[motherboard]', 2), ('atx', 2), ('-', 2), ('asrock', 1), ('phantom', 1), ('gaming', 1)]",2,"[('-', 39), ('gaming', 6), ('amd', 6), ('[monitor]', 5), ('[prebuilt]', 5), ('ssd', 5), ('rtx', 4), ('3070', 4), ('b550', 3), ('am4', 3)]",42,688.0,31,0.73
Post 13,[Fan] Lian Li Uni Fan SL120 Triple Pack Black- $84.66,https://www.newegg.com/lian-li-uf-sl120-3b-case-fan/p/1YF-005G-00015?Description=slq120&cm_re=slq120-_-1YF-005G-00015-_-Product,mi4oe1,0,"[('fan', 3), ('lian', 2), ('li', 2), ('uni', 2), ('pack', 2), ('[fans]', 1), ('sl140', 1), ('rgb', 1), ('black', 1), ('&', 1)]",3,"[('fan', 3), ('lian', 2), ('li', 2), ('uni', 2), ('pack', 2), ('[fans]', 1), ('sl140', 1), ('rgb', 1), ('black', 1), ('&', 1)]",0,"[('fan', 3), ('lian', 2), ('li', 2), ('uni', 2), ('pack', 2), ('[fans]', 1), ('sl140', 1), ('rgb', 1), ('black', 1), ('&', 1)]",32,994.0,20,0.67
Post 14,[AIO COOLER] EVGA CLC 280mm - $81 after associate code ($140 - 50 - 9),https://www.evga.com/products/product.aspx?pn=400-HY-CL28-V1,mi0osi,-1,"[('-', 7), ('ssd', 2), ('[meta]', 1), ('newegg', 1), ('souffle', 1), ('3060,', 1), ('3070,', 1), ('6700', 1), ('xt,', 1), ('3080', 1)]",-1,"[('-', 10), ('rgb', 2), ('$15', 2), ('[meta]', 1), ('newegg', 1), ('souffle', 1), ('3060,', 1), ('3070,', 1), ('6700', 1), ('xt,', 1)]",-1,"[('-', 7), ('ssd', 2), ('[meta]', 1), ('newegg', 1), ('souffle', 1), ('3060,', 1), ('3070,', 1), ('6700', 1), ('xt,', 1), ('3080', 1)]",22,808.0,26,0.76
Post 15,"[Prebuilt] MSI - Aegis R Gaming Desktop - Intel Core i7-10700F - 16GB Memory - NVIDIA GeForce RTX 3070 -1TB SSD - Black - $1,749 (Discount Information)",https://www.bestbuy.com/site/msi-aegis-r-gaming-desktop-intel-core-i7-10700f-16gb-memory-nvidia-geforce-rtx-3070-1tb-ssd-black/6433830.p?skuId=6433830,mi7zzb,2,"[('-', 39), ('gaming', 6), ('amd', 6), ('[monitor]', 5), ('[prebuilt]', 5), ('ssd', 5), ('rtx', 4), ('3070', 4), ('b550', 3), ('am4', 3)]",6,"[('-', 21), ('[prebuilt]', 5), ('gaming', 5), ('ssd', 5), ('rtx', 4), ('3070', 4), ('intel', 3), ('core', 3), ('16gb', 3), ('nvidia', 3)]",2,"[('-', 39), ('gaming', 6), ('amd', 6), ('[monitor]', 5), ('[prebuilt]', 5), ('ssd', 5), ('rtx', 4), ('3070', 4), ('b550', 3), ('am4', 3)]",29,1162.0,22,0.7000000000000001
Post 16,[Prebuilt] HP Envy TE01 Gaming Desktop PC - Intel Core i7-10700F 2.9GHz 32GB RAM 1TB HD + 512GB SSD NVIDIA GeForce GTX 1660 Super 6 GB GDDR6 Dedicated Graphics DVDRW Windows 10 (Renewed) $929.99 (7) left in stock.,https://smile.amazon.com/gp/product/B08PZF6T6F/ref=crt_ewc_title_dp_1?ie=UTF8&psc=1&smid=AFAU9XJXLQRAM,mhr6dg,2,"[('-', 39), ('gaming', 6), ('amd', 6), ('[monitor]', 5), ('[prebuilt]', 5), ('ssd', 5), ('rtx', 4), ('3070', 4), ('b550', 3), ('am4', 3)]",6,"[('-', 21), ('[prebuilt]', 5), ('gaming', 5), ('ssd', 5), ('rtx', 4), ('3070', 4), ('intel', 3), ('core', 3), ('16gb', 3), ('nvidia', 3)]",2,"[('-', 39), ('gaming', 6), ('amd', 6), ('[monitor]', 5), ('[prebuilt]', 5), ('ssd', 5), ('rtx', 4), ('3070', 4), ('b550', 3), ('am4', 3)]",18,281.0,21,0.72
Post 17,"[PSU] Antec High Current Gamer Series HCG650 Gold, 650W Fully Modular, Full-Bridge LLC and DC to DC Converter Design, Full Japanese Caps, Zero RPM Manager, Compacted Size 140mm, 10 Year Warranty - $79.99 ($109.99 - $30 mail in rebate)",https://www.newegg.com/antec-high-current-gamer-gold-series-hcg650-gold-650w/p/N82E16817371108,mi7vrf,3,"[('-', 3), ('[psu]', 2), ('fully', 2), ('modular,', 2), ('warranty', 2), ('dc', 2), ('quiet!', 1), ('straight', 1), ('power', 1), ('11', 1)]",4,"[('-', 3), ('[psu]', 2), ('fully', 2), ('modular,', 2), ('warranty', 2), ('dc', 2), ('quiet!', 1), ('straight', 1), ('power', 1), ('11', 1)]",3,"[('-', 3), ('[psu]', 2), ('fully', 2), ('modular,', 2), ('warranty', 2), ('dc', 2), ('quiet!', 1), ('straight', 1), ('power', 1), ('11', 1)]",10,1156.0,23,0.8
Post 18,[Motherboard]ASUS X570 ROG Crosshair VIII Dark Hero AMD AM4 ATX Motherboard Tustin microcenter- $449.99,https://www.microcenter.com/product/631349/asus-x570-rog-crosshair-viii-dark-hero-amd-am4-atx-motherboard?storeid=101,mi52xh,2,"[('-', 39), ('gaming', 6), ('amd', 6), ('[monitor]', 5), ('[prebuilt]', 5), ('ssd', 5), ('rtx', 4), ('3070', 4), ('b550', 3), ('am4', 3)]",7,"[('amd', 4), ('b550', 3), ('am4', 3), ('motherboard', 3), ('[motherboard]', 2), ('atx', 2), ('-', 2), ('asrock', 1), ('phantom', 1), ('gaming', 1)]",2,"[('-', 39), ('gaming', 6), ('amd', 6), ('[monitor]', 5), ('[prebuilt]', 5), ('ssd', 5), ('rtx', 4), ('3070', 4), ('b550', 3), ('am4', 3)]",50,1013.0,23,0.67
Post 19,"[Monitor] Alienware AW2721D - 27"" 2k, 240hz Nano IPS -- $769.99 (In Stock: May 10th)",https://www.amazon.com/Alienware-Gaming-Monitor-DisplayHDR-Certification/dp/B08LR145ZY/ref=sr_1_1?dchild=1&keywords=aw2721d&qid=1617299615&sr=8-1,mi0zfo,2,"[('-', 39), ('gaming', 6), ('amd', 6), ('[monitor]', 5), ('[prebuilt]', 5), ('ssd', 5), ('rtx', 4), ('3070', 4), ('b550', 3), ('am4', 3)]",1,"[('-', 7), ('[monitor]', 5), ('27""', 3), ('ips', 3), ('1440p', 2), ('freesync', 2), ('144hz', 2), ('dell', 1), ('s2721d', 1), ('75hz', 1)]",2,"[('-', 39), ('gaming', 6), ('amd', 6), ('[monitor]', 5), ('[prebuilt]', 5), ('ssd', 5), ('rtx', 4), ('3070', 4), ('b550', 3), ('am4', 3)]",51,822.0,17,0.65
Post 20,[Ram] oloy Warhawk 4000C18 rgb memory - $105(use code:4BGSLTDY246),https://www.newegg.com/oloy-16gb-288-pin-ddr4-sdram/p/N82E16820821362,mhqrkb,-1,"[('-', 7), ('ssd', 2), ('[meta]', 1), ('newegg', 1), ('souffle', 1), ('3060,', 1), ('3070,', 1), ('6700', 1), ('xt,', 1), ('3080', 1)]",-1,"[('-', 10), ('rgb', 2), ('$15', 2), ('[meta]', 1), ('newegg', 1), ('souffle', 1), ('3060,', 1), ('3070,', 1), ('6700', 1), ('xt,', 1)]",-1,"[('-', 7), ('ssd', 2), ('[meta]', 1), ('newegg', 1), ('souffle', 1), ('3060,', 1), ('3070,', 1), ('6700', 1), ('xt,', 1), ('3080', 1)]",9,247.0,16,0.6900000000000001
Post 21,"[Monitor] Acer KG241Q Pbiip 23.6"" Full HD (1920 x 1080) TN 144Hz 1ms Monitor with AMD FreeSync Technology - $149.99 ($199.99-50) = 25% off",https://www.amazon.com/dp/B07MG85X1M/ref=nav_timeline_asin?_encoding=UTF8&psc=1,mi0rm5,2,"[('-', 39), ('gaming', 6), ('amd', 6), ('[monitor]', 5), ('[prebuilt]', 5), ('ssd', 5), ('rtx', 4), ('3070', 4), ('b550', 3), ('am4', 3)]",1,"[('-', 7), ('[monitor]', 5), ('27""', 3), ('ips', 3), ('1440p', 2), ('freesync', 2), ('144hz', 2), ('dell', 1), ('s2721d', 1), ('75hz', 1)]",2,"[('-', 39), ('gaming', 6), ('amd', 6), ('[monitor]', 5), ('[prebuilt]', 5), ('ssd', 5), ('rtx', 4), ('3070', 4), ('b550', 3), ('am4', 3)]",3,812.0,13,0.6900000000000001
Post 22,[Monitor] ViewSonic 27” 144Hz WQHD Curved (VX2768-2KPC-MHD) - $259.99,https://www.bhphotovideo.com/c/product/1597330-REG/viewsonic_vx2768_2kpc_mhd_27_144hz_wqhd_curved.html,miai9g,2,"[('-', 39), ('gaming', 6), ('amd', 6), ('[monitor]', 5), ('[prebuilt]', 5), ('ssd', 5), ('rtx', 4), ('3070', 4), ('b550', 3), ('am4', 3)]",1,"[('-', 7), ('[monitor]', 5), ('27""', 3), ('ips', 3), ('1440p', 2), ('freesync', 2), ('144hz', 2), ('dell', 1), ('s2721d', 1), ('75hz', 1)]",2,"[('-', 39), ('gaming', 6), ('amd', 6), ('[monitor]', 5), ('[prebuilt]', 5), ('ssd', 5), ('rtx', 4), ('3070', 4), ('b550', 3), ('am4', 3)]",7,1308.0,11,0.79
Post 23,"[Keyboard] Royal Kludge RK100 - 96% Wireless Mechanical Keyboard. Hotswap, Multiple Switch’s and Colors. RGB Link in Description. $65 ($90 - $15 - $15 Coupon Clip)",https://www.amazon.com/dp/B08JCV2NG3/ref=cm_sw_r_cp_api_glt_fabc_K0MH6NN5BQ41NH487CRX?psc=1,miadd4,2,"[('-', 39), ('gaming', 6), ('amd', 6), ('[monitor]', 5), ('[prebuilt]', 5), ('ssd', 5), ('rtx', 4), ('3070', 4), ('b550', 3), ('am4', 3)]",-1,"[('-', 10), ('rgb', 2), ('$15', 2), ('[meta]', 1), ('newegg', 1), ('souffle', 1), ('3060,', 1), ('3070,', 1), ('6700', 1), ('xt,', 1)]",2,"[('-', 39), ('gaming', 6), ('amd', 6), ('[monitor]', 5), ('[prebuilt]', 5), ('ssd', 5), ('rtx', 4), ('3070', 4), ('b550', 3), ('am4', 3)]",14,1299.0,11,0.76
Post 24,[Adapter] RJ45 to USB Type C LAN Network Adapter- $8.99 (with code/AFRSRCBP),https://www.amazon.com/dp/B08D6KKDKC/,miacb5,-1,"[('-', 7), ('ssd', 2), ('[meta]', 1), ('newegg', 1), ('souffle', 1), ('3060,', 1), ('3070,', 1), ('6700', 1), ('xt,', 1), ('3080', 1)]",0,"[('-', 3), ('$8.99', 2), ('[cables]', 1), ('cat6', 1), ('ethernet', 1), ('cables', 1), ('33%', 1), ('1.5ft', 1), ('100ft', 1), ('$3.99', 1)]",-1,"[('-', 7), ('ssd', 2), ('[meta]', 1), ('newegg', 1), ('souffle', 1), ('3060,', 1), ('3070,', 1), ('6700', 1), ('xt,', 1), ('3080', 1)]",6,1297.0,8,0.79
Post 25,[Micro SD] KOOTION 5 X 32GB Micro SD/TF Card - $20.81 (15%off) ends 4/4/2021,https://www.amazon.com/Micro-Ultra-Memory-UHS-I-Class/dp/B07WJ359P6/ref=sr_1_19?dchild=1&keywords=64gb%2Bmicro%2Bsd%2Bcard&qid=1617154781&sr=8-19&th=1,mhq4y2,2,"[('-', 39), ('gaming', 6), ('amd', 6), ('[monitor]', 5), ('[prebuilt]', 5), ('ssd', 5), ('rtx', 4), ('3070', 4), ('b550', 3), ('am4', 3)]",-1,"[('-', 10), ('rgb', 2), ('$15', 2), ('[meta]', 1), ('newegg', 1), ('souffle', 1), ('3060,', 1), ('3070,', 1), ('6700', 1), ('xt,', 1)]",2,"[('-', 39), ('gaming', 6), ('amd', 6), ('[monitor]', 5), ('[prebuilt]', 5), ('ssd', 5), ('rtx', 4), ('3070', 4), ('b550', 3), ('am4', 3)]",2,197.0,1,0.52
Post 26,[Prebuilt] ABS Gladiator Gaming PC - Intel i7 10700F - RTX 3070 - 16gb 3200mhz - 1tb ssd - 750w gold - Newegg.com - $1799.99,https://www.newegg.com/abs-ali455/p/N82E16883360039?Item=N82E16883360039&Source=socialshare&cm_mmc=snc-social-_-sr-_-83-360-039-_-04012021,mib85r,2,"[('-', 39), ('gaming', 6), ('amd', 6), ('[monitor]', 5), ('[prebuilt]', 5), ('ssd', 5), ('rtx', 4), ('3070', 4), ('b550', 3), ('am4', 3)]",6,"[('-', 21), ('[prebuilt]', 5), ('gaming', 5), ('ssd', 5), ('rtx', 4), ('3070', 4), ('intel', 3), ('core', 3), ('16gb', 3), ('nvidia', 3)]",2,"[('-', 39), ('gaming', 6), ('amd', 6), ('[monitor]', 5), ('[prebuilt]', 5), ('ssd', 5), ('rtx', 4), ('3070', 4), ('b550', 3), ('am4', 3)]",11,1350.0,0,0.46
Post 27,[Prebuilt] ABS Gladiator Gaming PC - Core i7-9700F - RTX 3070 - 16gb - 1 tb ssd - Newegg.com -$1599.99,https://www.newegg.com/abs-ali462/p/N82E16883360047?Item=N82E16883360047&Source=socialshare&cm_mmc=snc-social-_-sr-_-83-360-047-_-04012021,mib4ve,2,"[('-', 39), ('gaming', 6), ('amd', 6), ('[monitor]', 5), ('[prebuilt]', 5), ('ssd', 5), ('rtx', 4), ('3070', 4), ('b550', 3), ('am4', 3)]",6,"[('-', 21), ('[prebuilt]', 5), ('gaming', 5), ('ssd', 5), ('rtx', 4), ('3070', 4), ('intel', 3), ('core', 3), ('16gb', 3), ('nvidia', 3)]",2,"[('-', 39), ('gaming', 6), ('amd', 6), ('[monitor]', 5), ('[prebuilt]', 5), ('ssd', 5), ('rtx', 4), ('3070', 4), ('b550', 3), ('am4', 3)]",4,1345.0,0,0.36
Post 28,[Prebuilt] PowerSpec G707 Gaming Computer AMD Ryzen 7 3700X 3.6GHz Processor NVIDIA GeForce RTX 3070 8GB GDDR6 32GB DDR4-3200 RAM; 1TB SSD - $1799.99 - Microcenter,https://www.microcenter.com/product/630918/powerspec-g707-gaming-computer,mhszi4,2,"[('-', 39), ('gaming', 6), ('amd', 6), ('[monitor]', 5), ('[prebuilt]', 5), ('ssd', 5), ('rtx', 4), ('3070', 4), ('b550', 3), ('am4', 3)]",6,"[('-', 21), ('[prebuilt]', 5), ('gaming', 5), ('ssd', 5), ('rtx', 4), ('3070', 4), ('intel', 3), ('core', 3), ('16gb', 3), ('nvidia', 3)]",2,"[('-', 39), ('gaming', 6), ('amd', 6), ('[monitor]', 5), ('[prebuilt]', 5), ('ssd', 5), ('rtx', 4), ('3070', 4), ('b550', 3), ('am4', 3)]",9,415.0,0,0.36
Post 29,[Prebuilt] Zotac MAGNUS ONE with rtx3070+10700 - $1999,https://www.zotacstore.com/us/magnus-one-ecm73070c-with-windows-10-zbox-ecm73070c-u-w2b,mhoias,1,"[('[prebuilt]', 2), ('zotac', 2), ('magnus', 2), ('one', 2), ('-', 2), ('$1999', 2), ('rtx3070+10700', 1), ('rtx3070,', 1), ('8.3l', 1)]",2,"[('[prebuilt]', 2), ('zotac', 2), ('magnus', 2), ('one', 2), ('-', 2), ('$1999', 2), ('rtx3070+10700', 1), ('rtx3070,', 1), ('8.3l', 1)]",1,"[('[prebuilt]', 2), ('zotac', 2), ('magnus', 2), ('one', 2), ('-', 2), ('$1999', 2), ('rtx3070+10700', 1), ('rtx3070,', 1), ('8.3l', 1)]",19,79.0,0,0.38
Post 30,"[Prebuilt] Zotac Magnus One with RTX3070, 8.3L - $1999",https://www.amazon.com/ZOTAC-ECM73070C-GeForce-i7-10700-ZBOX-ECM73070C-U-W2B/dp/B08YLDRNB2/ref=sr_1_3?dchild=1&keywords=zotac+mini&qid=1617250025&s=electronics&sr=1-3,mhncag,1,"[('[prebuilt]', 2), ('zotac', 2), ('magnus', 2), ('one', 2), ('-', 2), ('$1999', 2), ('rtx3070+10700', 1), ('rtx3070,', 1), ('8.3l', 1)]",2,"[('[prebuilt]', 2), ('zotac', 2), ('magnus', 2), ('one', 2), ('-', 2), ('$1999', 2), ('rtx3070+10700', 1), ('rtx3070,', 1), ('8.3l', 1)]",1,"[('[prebuilt]', 2), ('zotac', 2), ('magnus', 2), ('one', 2), ('-', 2), ('$1999', 2), ('rtx3070+10700', 1), ('rtx3070,', 1), ('8.3l', 1)]",24,0.0,0,0.28
