,Title,BERT label,BERT label words,TFIDF label,TFIDF label words,BERT + TFIDF label,BERT + TFIDF label words,Comment Count,Time elapsed (mins),Upvotes,Upvote Ratio
Post 11,"Philippines: ICC finds ""reasonable basis"" for alleged crimes against humanity in Duterte's drug war",7,"[('crimes', 3), ('humanity', 3), ('icc', 2), ('finds', 2), ('philippines:', 1), ('""reasonable', 1), ('basis""', 1), ('alleged', 1), (""duterte's"", 1), ('drug', 1)]",31,"[('crimes', 3), ('humanity', 3), ('icc', 2), ('finds', 2), ('philippines:', 1), ('""reasonable', 1), ('basis""', 1), ('alleged', 1), (""duterte's"", 1), ('drug', 1)]",7,"[('crimes', 3), ('humanity', 3), ('icc', 2), ('finds', 2), ('philippines:', 1), ('""reasonable', 1), ('basis""', 1), ('alleged', 1), (""duterte's"", 1), ('drug', 1)]",101,375.0,1646,0.97
Post 12,"LED lights found to kill coronavirus efficiently, quickly, and cheaply, a global first in fight against COVID-19. The finding suggests the UV-LEDs can be installed in air conditioning and water systems. It requires less than half a minute to destroy more than 99.9% of coronaviruses.",22,"[('coronavirus', 3), ('first', 3), ('wild', 3), ('the', 2), ('case', 2), ('detected', 2), ('mink', 2), ('led', 1), ('lights', 1), ('found', 1)]",-1,"[('says', 7), ('eu', 6), ('new', 5), ('world', 4), ('the', 4), ('china', 4), ('oil', 3), ('war', 3), ('russian', 3), ('part', 3)]",22,"[('coronavirus', 3), ('first', 3), ('wild', 3), ('the', 2), ('case', 2), ('detected', 2), ('mink', 2), ('led', 1), ('lights', 1), ('found', 1)]",172,105.0,1487,0.9500000000000001
Post 13,ICC rejects Uighur genocide complaint against China,6,"[('icc', 3), ('rejects', 3), ('genocide', 3), ('china', 3), ('uighur', 2), ('complaint', 2), ('uygur', 1), ('calls', 1), ('investigate', 1), ('prosecutor', 1)]",30,"[('icc', 3), ('rejects', 3), ('genocide', 3), ('china', 3), ('uighur', 2), ('complaint', 2), ('uygur', 1), ('calls', 1), ('investigate', 1), ('prosecutor', 1)]",6,"[('icc', 3), ('rejects', 3), ('genocide', 3), ('china', 3), ('uighur', 2), ('complaint', 2), ('uygur', 1), ('calls', 1), ('investigate', 1), ('prosecutor', 1)]",386,274.0,1440,0.93
Post 14,"China is global leader in jailed journalists for second year, report finds",23,"[('jailed', 2), ('journalists', 2), ('china', 1), ('global', 1), ('leader', 1), ('second', 1), ('year,', 1), ('report', 1), ('finds', 1), ('record', 1)]",34,"[('global', 2), ('jailed', 2), ('journalists', 2), ('report', 2), ('china', 1), ('leader', 1), ('second', 1), ('year,', 1), ('finds', 1), ('data', 1)]",23,"[('jailed', 2), ('journalists', 2), ('china', 1), ('global', 1), ('leader', 1), ('second', 1), ('year,', 1), ('report', 1), ('finds', 1), ('record', 1)]",115,523.0,1410,0.92
Post 15,"China used ""mass surveillance"" on thousands of Americans' phones, report claims",13,"[('report', 2), ('china', 1), ('used', 1), ('""mass', 1), ('surveillance""', 1), ('thousands', 1), (""americans'"", 1), ('phones,', 1), ('claims', 1), ('data', 1)]",20,"[('china', 2), ('with', 2), ('used', 1), ('""mass', 1), ('surveillance""', 1), ('thousands', 1), (""americans'"", 1), ('phones,', 1), ('report', 1), ('claims', 1)]",13,"[('report', 2), ('china', 1), ('used', 1), ('""mass', 1), ('surveillance""', 1), ('thousands', 1), (""americans'"", 1), ('phones,', 1), ('claims', 1), ('data', 1)]",238,1091.0,1237,0.91
Post 16,US imposes sanctions on Turkey over purchase of Russian air defence system,33,"[('sanctions', 3), ('turkey', 3), ('purchase', 3), ('system', 3), ('missile', 3), ('russian', 2), ('defence', 2), ('the', 2), ('s-400', 2), ('turkish', 2)]",24,"[('sanctions', 6), ('missile', 5), ('us', 3), ('turkey', 3), ('purchase', 3), ('russian', 3), ('defence', 3), ('system', 3), ('turkish', 3), ('u.s.', 3)]",33,"[('sanctions', 3), ('turkey', 3), ('purchase', 3), ('system', 3), ('missile', 3), ('russian', 2), ('defence', 2), ('the', 2), ('s-400', 2), ('turkish', 2)]",127,314.0,503,0.93
Post 17,"Norway says it could block EU, British fishing vessels from Jan 1",-1,"[('new', 10), ('says', 9), ('china', 6), ('iran', 6), ('russian', 5), ('covid-19', 5), ('us', 5), ('world', 4), ('u.s.', 4), ('french', 4)]",-1,"[('says', 7), ('eu', 6), ('new', 5), ('world', 4), ('the', 4), ('china', 4), ('oil', 3), ('war', 3), ('russian', 3), ('part', 3)]",-1,"[('says', 9), ('new', 9), ('china', 6), ('iran', 6), ('russian', 5), ('covid-19', 5), ('us', 5), ('world', 4), ('u.s.', 4), ('french', 4)]",109,164.0,457,0.9500000000000001
Post 18,First case of coronavirus detected in wild mink. The wild mink had an identical strain of the virus as the infected mink from a nearby fur farm.,22,"[('coronavirus', 3), ('first', 3), ('wild', 3), ('the', 2), ('case', 2), ('detected', 2), ('mink', 2), ('led', 1), ('lights', 1), ('found', 1)]",13,"[('coronavirus', 3), ('wild', 3), ('first', 2), ('case', 2), ('detected', 2), ('mink', 2), ('mink.', 1), ('the', 1), ('identical', 1), ('strain', 1)]",22,"[('coronavirus', 3), ('first', 3), ('wild', 3), ('the', 2), ('case', 2), ('detected', 2), ('mink', 2), ('led', 1), ('lights', 1), ('found', 1)]",99,111.0,393,0.92
Post 19,"Data Leak Reveals members Of China's Communist Party Working In Global Firms, Consulates: Report",13,"[('report', 2), ('china', 1), ('used', 1), ('""mass', 1), ('surveillance""', 1), ('thousands', 1), (""americans'"", 1), ('phones,', 1), ('claims', 1), ('data', 1)]",34,"[('global', 2), ('jailed', 2), ('journalists', 2), ('report', 2), ('china', 1), ('leader', 1), ('second', 1), ('year,', 1), ('finds', 1), ('data', 1)]",13,"[('report', 2), ('china', 1), ('used', 1), ('""mass', 1), ('surveillance""', 1), ('thousands', 1), (""americans'"", 1), ('phones,', 1), ('claims', 1), ('data', 1)]",61,537.0,362,0.8300000000000001
Post 20,A 15-year-old is now the youngest reported Hongkonger in exile,-1,"[('new', 10), ('says', 9), ('china', 6), ('iran', 6), ('russian', 5), ('covid-19', 5), ('us', 5), ('world', 4), ('u.s.', 4), ('french', 4)]",5,"[('hongkonger', 2), ('a', 1), ('15-year-old', 1), ('youngest', 1), ('reported', 1), ('exile', 1), ('national', 1), ('security', 1), ('law:', 1), ('charged', 1)]",-1,"[('says', 9), ('new', 9), ('china', 6), ('iran', 6), ('russian', 5), ('covid-19', 5), ('us', 5), ('world', 4), ('u.s.', 4), ('french', 4)]",34,503.0,318,0.85
Post 21,ICC rejects Uygur calls to investigate China for genocide,6,"[('icc', 3), ('rejects', 3), ('genocide', 3), ('china', 3), ('uighur', 2), ('complaint', 2), ('uygur', 1), ('calls', 1), ('investigate', 1), ('prosecutor', 1)]",30,"[('icc', 3), ('rejects', 3), ('genocide', 3), ('china', 3), ('uighur', 2), ('complaint', 2), ('uygur', 1), ('calls', 1), ('investigate', 1), ('prosecutor', 1)]",6,"[('icc', 3), ('rejects', 3), ('genocide', 3), ('china', 3), ('uighur', 2), ('complaint', 2), ('uygur', 1), ('calls', 1), ('investigate', 1), ('prosecutor', 1)]",94,389.0,298,0.85
Post 22,Saudi Arabia applied for diplomatic immunity for ten man security team in Norway,27,"[('saudi', 2), ('arabia', 2), ('applied', 2), ('diplomatic', 2), ('immunity', 2), ('ten', 2), ('man', 2), ('security', 2), ('team', 2), ('norway', 2)]",3,"[('saudi', 2), ('arabia', 2), ('applied', 2), ('diplomatic', 2), ('immunity', 2), ('ten', 2), ('man', 2), ('security', 2), ('team', 2), ('norway', 2)]",27,"[('saudi', 2), ('arabia', 2), ('applied', 2), ('diplomatic', 2), ('immunity', 2), ('ten', 2), ('man', 2), ('security', 2), ('team', 2), ('norway', 2)]",40,944.0,343,0.93
Post 23,India farmers intensify protests as deadlock over new farming laws continues,-1,"[('new', 10), ('says', 9), ('china', 6), ('iran', 6), ('russian', 5), ('covid-19', 5), ('us', 5), ('world', 4), ('u.s.', 4), ('french', 4)]",8,"[('india', 2), ('farmers', 2), ('protests', 2), ('intensify', 1), ('deadlock', 1), ('new', 1), ('farming', 1), ('laws', 1), ('continues', 1), ('police', 1)]",-1,"[('says', 9), ('new', 9), ('china', 6), ('iran', 6), ('russian', 5), ('covid-19', 5), ('us', 5), ('world', 4), ('u.s.', 4), ('french', 4)]",22,285.0,286,0.89
Post 24,Hungary bans same-sex couples from adopting children,2,"[('hungary', 4), ('bans', 4), ('same-sex', 4), ('couples', 4), ('adopting', 4), ('children', 4)]",42,"[('hungary', 4), ('bans', 4), ('same-sex', 4), ('couples', 4), ('adopting', 4), ('children', 4)]",2,"[('hungary', 4), ('bans', 4), ('same-sex', 4), ('couples', 4), ('adopting', 4), ('children', 4)]",118,1296.0,744,0.93
Post 25,CNN-Bellingcat investigation identifies Russian specialists who trailed Putin's nemesis Alexey Navalny before he was poisoned,26,"[('navalny', 4), ('says', 3), ('russian', 3), ('putin', 2), (""russia's"", 2), ('alexei', 2), ('poisoning', 2), ('ordered', 2), ('cnn-bellingcat', 2), ('investigation', 2)]",41,"[('cnn-bellingcat', 2), ('investigation', 2), ('identifies', 2), ('russian', 2), ('specialists', 2), ('trailed', 2), (""putin's"", 2), ('nemesis', 2), ('alexey', 2), ('navalny', 2)]",26,"[('navalny', 4), ('says', 3), ('russian', 3), ('putin', 2), (""russia's"", 2), ('alexei', 2), ('poisoning', 2), ('ordered', 2), ('cnn-bellingcat', 2), ('investigation', 2)]",17,558.0,237,0.9
Post 26,Brazil cops nabbed after images capture arrest of two men later found dead,-1,"[('new', 10), ('says', 9), ('china', 6), ('iran', 6), ('russian', 5), ('covid-19', 5), ('us', 5), ('world', 4), ('u.s.', 4), ('french', 4)]",16,"[('two', 4), ('men', 4), ('nagorno-karabakh', 4), ('beheaded', 3), ('videos', 3), ('war', 3), ('identified', 3), ('brazil', 1), ('cops', 1), ('nabbed', 1)]",-1,"[('says', 9), ('new', 9), ('china', 6), ('iran', 6), ('russian', 5), ('covid-19', 5), ('us', 5), ('world', 4), ('u.s.', 4), ('french', 4)]",7,415.0,200,0.9400000000000001
Post 27,Boys escaped through forest after gunmen abducted their friends at Nigeria school,-1,"[('new', 10), ('says', 9), ('china', 6), ('iran', 6), ('russian', 5), ('covid-19', 5), ('us', 5), ('world', 4), ('u.s.', 4), ('french', 4)]",-1,"[('says', 7), ('eu', 6), ('new', 5), ('world', 4), ('the', 4), ('china', 4), ('oil', 3), ('war', 3), ('russian', 3), ('part', 3)]",-1,"[('says', 9), ('new', 9), ('china', 6), ('iran', 6), ('russian', 5), ('covid-19', 5), ('us', 5), ('world', 4), ('u.s.', 4), ('french', 4)]",15,574.0,203,0.93
Post 28,Two men beheaded in videos from Nagorno-Karabakh war identified,4,"[('nagorno-karabakh', 4), ('two', 3), ('men', 3), ('beheaded', 3), ('videos', 3), ('war', 3), ('identified', 3), ('|', 1)]",16,"[('two', 4), ('men', 4), ('nagorno-karabakh', 4), ('beheaded', 3), ('videos', 3), ('war', 3), ('identified', 3), ('brazil', 1), ('cops', 1), ('nabbed', 1)]",4,"[('nagorno-karabakh', 4), ('two', 3), ('men', 3), ('beheaded', 3), ('videos', 3), ('war', 3), ('identified', 3), ('|', 1)]",39,561.0,189,0.9
Post 29,Saudi Arabia applied for diplomatic immunity for ten man security team in Norway,27,"[('saudi', 2), ('arabia', 2), ('applied', 2), ('diplomatic', 2), ('immunity', 2), ('ten', 2), ('man', 2), ('security', 2), ('team', 2), ('norway', 2)]",3,"[('saudi', 2), ('arabia', 2), ('applied', 2), ('diplomatic', 2), ('immunity', 2), ('ten', 2), ('man', 2), ('security', 2), ('team', 2), ('norway', 2)]",27,"[('saudi', 2), ('arabia', 2), ('applied', 2), ('diplomatic', 2), ('immunity', 2), ('ten', 2), ('man', 2), ('security', 2), ('team', 2), ('norway', 2)]",37,626.0,188,0.89
Post 30,Bolivia Approves First Same-Sex Civil Union Following Legal Battle,10,"[('adoption', 3), ('hungary', 2), ('amends', 2), ('constitution', 2), ('redefine', 2), ('family,', 2), ('limits', 2), ('gay', 2), ('bolivia', 1), ('approves', 1)]",-1,"[('says', 7), ('eu', 6), ('new', 5), ('world', 4), ('the', 4), ('china', 4), ('oil', 3), ('war', 3), ('russian', 3), ('part', 3)]",10,"[('adoption', 3), ('hungary', 2), ('amends', 2), ('constitution', 2), ('redefine', 2), ('family,', 2), ('limits', 2), ('gay', 2), ('bolivia', 1), ('approves', 1)]",5,35.0,176,0.85
Post 31,"Facebook did not ban violent extremist group in India over fears of damage to business prospects, report says",-1,"[('new', 10), ('says', 9), ('china', 6), ('iran', 6), ('russian', 5), ('covid-19', 5), ('us', 5), ('world', 4), ('u.s.', 4), ('french', 4)]",-1,"[('says', 7), ('eu', 6), ('new', 5), ('world', 4), ('the', 4), ('china', 4), ('oil', 3), ('war', 3), ('russian', 3), ('part', 3)]",-1,"[('says', 9), ('new', 9), ('china', 6), ('iran', 6), ('russian', 5), ('covid-19', 5), ('us', 5), ('world', 4), ('u.s.', 4), ('french', 4)]",16,795.0,194,0.87
Post 32,"'Unconscious bias training' for civil servants in England to be scrapped, because government found no evidence of it working",-1,"[('new', 10), ('says', 9), ('china', 6), ('iran', 6), ('russian', 5), ('covid-19', 5), ('us', 5), ('world', 4), ('u.s.', 4), ('french', 4)]",19,"[(""'unconscious"", 1), ('bias', 1), (""training'"", 1), ('civil', 1), ('servants', 1), ('england', 1), ('scrapped,', 1), ('government', 1), ('found', 1), ('evidence', 1)]",-1,"[('says', 9), ('new', 9), ('china', 6), ('iran', 6), ('russian', 5), ('covid-19', 5), ('us', 5), ('world', 4), ('u.s.', 4), ('french', 4)]",75,1007.0,191,0.91
Post 33,The USA implements sanctions against their Nato ally Turkey over the decision to purchase the Russian S-400 surface-to-air missile system. The sanctions include the freezing of assets of a turkish minister and a ban on all U.S. export licenses and authorizations to the turkish defense forces.,33,"[('sanctions', 3), ('turkey', 3), ('purchase', 3), ('system', 3), ('missile', 3), ('russian', 2), ('defence', 2), ('the', 2), ('s-400', 2), ('turkish', 2)]",24,"[('sanctions', 6), ('missile', 5), ('us', 3), ('turkey', 3), ('purchase', 3), ('russian', 3), ('defence', 3), ('system', 3), ('turkish', 3), ('u.s.', 3)]",33,"[('sanctions', 3), ('turkey', 3), ('purchase', 3), ('system', 3), ('missile', 3), ('russian', 2), ('defence', 2), ('the', 2), ('s-400', 2), ('turkish', 2)]",72,87.0,150,0.89
Post 34,CNN-Bellingcat investigation identifies Russian specialists who trailed Putin's nemesis Alexey Navalny before he was poisoned,26,"[('navalny', 4), ('says', 3), ('russian', 3), ('putin', 2), (""russia's"", 2), ('alexei', 2), ('poisoning', 2), ('ordered', 2), ('cnn-bellingcat', 2), ('investigation', 2)]",41,"[('cnn-bellingcat', 2), ('investigation', 2), ('identifies', 2), ('russian', 2), ('specialists', 2), ('trailed', 2), (""putin's"", 2), ('nemesis', 2), ('alexey', 2), ('navalny', 2)]",26,"[('navalny', 4), ('says', 3), ('russian', 3), ('putin', 2), (""russia's"", 2), ('alexei', 2), ('poisoning', 2), ('ordered', 2), ('cnn-bellingcat', 2), ('investigation', 2)]",2,581.0,99,0.87
Post 35,WHO says authorities investigating new Covid-19 variant in England,-1,"[('new', 10), ('says', 9), ('china', 6), ('iran', 6), ('russian', 5), ('covid-19', 5), ('us', 5), ('world', 4), ('u.s.', 4), ('french', 4)]",-1,"[('says', 7), ('eu', 6), ('new', 5), ('world', 4), ('the', 4), ('china', 4), ('oil', 3), ('war', 3), ('russian', 3), ('part', 3)]",-1,"[('says', 9), ('new', 9), ('china', 6), ('iran', 6), ('russian', 5), ('covid-19', 5), ('us', 5), ('world', 4), ('u.s.', 4), ('french', 4)]",15,9.0,92,0.89
Post 36,"London moves into tier-3 of Coronavirus restrictions, Govt. instructs movie theaters to close their door for public once again",-1,"[('new', 10), ('says', 9), ('china', 6), ('iran', 6), ('russian', 5), ('covid-19', 5), ('us', 5), ('world', 4), ('u.s.', 4), ('french', 4)]",2,"[('covid', 2), ('19', 2), ('nz', 2), ('london', 1), ('moves', 1), ('tier-3', 1), ('coronavirus', 1), ('restrictions,', 1), ('govt.', 1), ('instructs', 1)]",-1,"[('says', 9), ('new', 9), ('china', 6), ('iran', 6), ('russian', 5), ('covid-19', 5), ('us', 5), ('world', 4), ('u.s.', 4), ('french', 4)]",8,379.0,95,0.9
Post 37,"Moderna vaccine safe and effective, say US experts",-1,"[('new', 10), ('says', 9), ('china', 6), ('iran', 6), ('russian', 5), ('covid-19', 5), ('us', 5), ('world', 4), ('u.s.', 4), ('french', 4)]",-1,"[('says', 7), ('eu', 6), ('new', 5), ('world', 4), ('the', 4), ('china', 4), ('oil', 3), ('war', 3), ('russian', 3), ('part', 3)]",-1,"[('says', 9), ('new', 9), ('china', 6), ('iran', 6), ('russian', 5), ('covid-19', 5), ('us', 5), ('world', 4), ('u.s.', 4), ('french', 4)]",22,1332.0,215,0.91
Post 38,Jamaican MP wants referendum on replacing Queen as head of State,-1,"[('new', 10), ('says', 9), ('china', 6), ('iran', 6), ('russian', 5), ('covid-19', 5), ('us', 5), ('world', 4), ('u.s.', 4), ('french', 4)]",44,"[('referendum', 2), ('jamaican', 1), ('mp', 1), ('wants', 1), ('replacing', 1), ('queen', 1), ('head', 1), ('state', 1), ('kyrgyzstan:', 1), ('mps', 1)]",-1,"[('says', 9), ('new', 9), ('china', 6), ('iran', 6), ('russian', 5), ('covid-19', 5), ('us', 5), ('world', 4), ('u.s.', 4), ('french', 4)]",14,374.0,89,0.89
Post 39,Scotland's drug deaths rise to new record - the worst rate recorded in Europe and about three and a half times the rate for England and Wales.,24,"[('deaths', 4), ('rate', 4), ('suicide', 2), ('japan', 2), ('number', 2), ('highest', 2), ('rise', 2), ('new', 2), ('record', 2), ('worst', 2)]",37,"[('deaths', 4), ('rise', 3), ('new', 3), ('record', 3), ('rate', 3), (""scotland's"", 2), ('drug', 2), ('worst', 2), ('drug-related', 2), ('-', 1)]",24,"[('deaths', 4), ('rate', 4), ('suicide', 2), ('japan', 2), ('number', 2), ('highest', 2), ('rise', 2), ('new', 2), ('record', 2), ('worst', 2)]",12,873.0,93,0.88
Post 40,Half of Singapore's migrant workers in dormitories have had COVID-19,-1,"[('new', 10), ('says', 9), ('china', 6), ('iran', 6), ('russian', 5), ('covid-19', 5), ('us', 5), ('world', 4), ('u.s.', 4), ('french', 4)]",6,"[('workers', 2), ('half', 1), (""singapore's"", 1), ('migrant', 1), ('dormitories', 1), ('covid-19', 1), ('four', 1), ('aid', 1), ('killed', 1), ('tigray', 1)]",-1,"[('says', 9), ('new', 9), ('china', 6), ('iran', 6), ('russian', 5), ('covid-19', 5), ('us', 5), ('world', 4), ('u.s.', 4), ('french', 4)]",9,813.0,89,0.9
Post 41,Court Finds Evidence of Crimes Against Humanity in the Philippines,7,"[('crimes', 3), ('humanity', 3), ('icc', 2), ('finds', 2), ('philippines:', 1), ('""reasonable', 1), ('basis""', 1), ('alleged', 1), (""duterte's"", 1), ('drug', 1)]",31,"[('crimes', 3), ('humanity', 3), ('icc', 2), ('finds', 2), ('philippines:', 1), ('""reasonable', 1), ('basis""', 1), ('alleged', 1), (""duterte's"", 1), ('drug', 1)]",7,"[('crimes', 3), ('humanity', 3), ('icc', 2), ('finds', 2), ('philippines:', 1), ('""reasonable', 1), ('basis""', 1), ('alleged', 1), (""duterte's"", 1), ('drug', 1)]",5,853.0,87,0.86
Post 42,Walmart triples India exports as major U.S. companies pivot from China,14,"[('walmart', 2), ('triples', 2), ('india', 2), ('exports', 2), ('major', 2), ('u.s.', 2), ('companies', 2), ('pivot', 2), ('china', 2), ('from', 1)]",12,"[('walmart', 2), ('triples', 2), ('india', 2), ('exports', 2), ('major', 2), ('u.s.', 2), ('companies', 2), ('pivot', 2), ('china', 2), ('from', 1)]",14,"[('walmart', 2), ('triples', 2), ('india', 2), ('exports', 2), ('major', 2), ('u.s.', 2), ('companies', 2), ('pivot', 2), ('china', 2), ('from', 1)]",14,1018.0,94,0.8300000000000001
Post 43,Suspected Russian hackers breached U.S. Department of Homeland Security - sources,-1,"[('new', 10), ('says', 9), ('china', 6), ('iran', 6), ('russian', 5), ('covid-19', 5), ('us', 5), ('world', 4), ('u.s.', 4), ('french', 4)]",-1,"[('says', 7), ('eu', 6), ('new', 5), ('world', 4), ('the', 4), ('china', 4), ('oil', 3), ('war', 3), ('russian', 3), ('part', 3)]",-1,"[('says', 9), ('new', 9), ('china', 6), ('iran', 6), ('russian', 5), ('covid-19', 5), ('us', 5), ('world', 4), ('u.s.', 4), ('french', 4)]",11,66.0,78,0.86
